Year,Population,Violent crime,Violent crime rate,Murder and nonnegligent manslaughter,Murder and nonnegligent manslaughter rate,Rape,Rape rate,Robbery,Robbery rate,Aggravated assault,Aggravated assault rate,Property crime,Property crime rate ,Burglary,Burglary rate,Larceny-theft,Larceny-theft rate ,Motor vehicle theft,Motor vehicle theft rate 
1994,260327021,1857670,713.60,23326,9.00,102216,39.30,618949,237.80,1113179,427.60,12131873,4660.20,2712774,1042.10,7879812,3026.90,1539287,591.30
1995,262803276,1798792,684.50,21606,8.20,97470,37.10,580509,220.90,1099207,418.30,12063935,4590.50,2593784,987.00,7997710,3043.20,1472441,560.30
1996,265228572,1688540,636.60,19645,7.40,96252,36.30,535594,201.90,1037049,391.00,11805323,4451.00,2506400,945.00,7904685,2980.30,1394238,525.70
1997,267783607,1636096,611.00,18208,6.80,96153,35.90,498534,186.20,1023201,382.10,11558475,4316.30,2460526,918.80,7743760,2891.80,1354189,505.70
1998,270248003,1533887,567.60,16974,6.30,93144,34.50,447186,165.50,976583,361.40,10951827,4052.50,2332735,863.20,7376311,2729.50,1242781,459.90
1999,272690813,1426044,523.00,15522,5.70,89411,32.80,409371,150.10,911740,334.30,10208334,3743.60,2100739,770.40,6955520,2550.70,1152075,422.50
2000,281421906,1425486,506.50,15586,5.50,90178,32.00,408016,145.00,911706,324.00,10182584,3618.30,2050992,728.80,6971590,2477.30,1160002,412.20
2001,285317559,1439480,504.50,16037,5.60,90863,31.80,423557,148.50,909023,318.60,10437189,3658.10,2116531,741.80,7092267,2485.70,1228391,430.50
2002,287973924,1423677,494.40,16229,5.60,95235,33.10,420806,146.10,891407,309.50,10455277,3630.60,2151252,747.00,7057379,2450.70,1246646,432.90
2003,290788976,1383676,475.80,16528,5.70,93883,32.30,414235,142.50,859030,295.40,10442862,3591.20,2154834,741.00,7026802,2416.50,1261226,433.70
2004,293656842,1360088,463.20,16148,5.50,95089,32.40,401470,136.70,847381,288.60,10319386,3514.10,2144446,730.30,6937089,2362.30,1237851,421.50
2005,296507061,1390745,469.00,16740,5.60,94347,31.80,417438,140.80,862220,290.80,10174754,3431.50,2155448,726.90,6783447,2287.80,1235859,416.80
2006,299398484,1435123,479.30,17309,5.80,94472,31.60,449246,150.00,874096,292.00,10019601,3346.60,2194993,733.10,6626363,2213.20,1198245,400.20
2007,301621157,1422970,471.80,17128,5.70,92160,30.60,447324,148.30,866358,287.20,9882212,3276.40,2190198,726.10,6591542,2185.40,1100472,364.90
2008,304059724,1394461,458.60,16465,5.40,90750,29.80,443563,145.90,843683,277.50,9774152,3214.60,2228887,733.00,6586206,2166.10,959059,315.40
2009,307006550,1325896,431.90,15399,5.00,89241,29.10,408742,133.10,812514,264.70,9337060,3041.30,2203313,717.70,6338095,2064.50,795652,259.20
2010,309330219,1251248,404.50,14722,4.80,85593,27.70,369089,119.30,781844,252.80,9112625,2945.90,2168459,701.00,6204601,2005.80,739565,239.10
2011,311587816,1206005,387.10,14661,4.70,84175,27.00,354746,113.90,752423,241.50,9052743,2905.40,2185140,701.30,6151095,1974.10,716508,230.00
2012,313873685,1217057,387.80,14856,4.70,85141,27.10,355051,113.10,762009,242.80,9001992,2868.00,2109932,672.20,6168874,1965.40,723186,230.40
2013,316128839,1163146,367.90,14196,4.50,79770,25.20,345031,109.10,724149,229.10,8632512,2730.70,1928465,610.00,6004453,1899.40,699594,221.30
